,SNB,Dairy,Forest,Crop
LUC1_Mean,11,38,2,20
LUC1_SD,3.3,10,0.1,5
LUC2_Mean,11,38,2,20
LUC2_SD,3.3,10,0.1,5
LUC3_Mean,11,38,2,20
LUC3_SD,3.3,10,0.1,5
LUC4_Mean,11,38,2,20
LUC4_SD,3.3,10,0.1,5
LUC5_Mean,11,38,2,20
LUC5_SD,3.3,10,0.1,5
LUC6_Mean,11,38,2,20
LUC6_SD,3.3,10,0.1,5
LUC7_Mean,11,38,2,20
LUC7_SD,3.3,10,0.1,5
LUC8_Mean,11,38,2,20
LUC8_SD,3.3,10,0.1,5
