,SNB,Dairy,Forest,Crop
LUC1,1,1,1,1
LUC2,1,1,1,1
LUC3,1,1,1,1
LUC4,1,1,1,0
LUC5,1,1,1,0
LUC6,1,0,1,0
LUC7,1,0,1,0
LUC8,1,0,1,0
