farmer_id,farm_id,farm_type,size_ha,disposition,age,inherited,succession_stage,loan_principal,loan_rate,current_debt,debt_payments,debt_maturity,debt_free,debt_asset_ratio,n_holdings,n_local_links,n_catchment_links,Build_Wetland,Clean_Races,Farm_Plan,Riparian_Planting,x,y
26909,30276,Forest,240,for_profit,61,FALSE,4,1789762,3,1789762,120300,5,FALSE,0.689,2,10,11,0,0,0,0,16,249
26910,30237,SNB,496,for_profit,42,FALSE,3,749533,3,749533,87868,15,FALSE,0.358,4,7,8,0,0,3,1,124,240
26911,29205,Forest,1264,for_profit,78,FALSE,3,0,0,0,0,21,TRUE,0,6,11,9,0,0,0,0,152,20
26912,29680,Dairy,48,for_profit,41,FALSE,1,1908745,3,1908745,128298,5,FALSE,0.728,1,12,13,1,0,1,0,77,239
26913,30244,Dairy,64,for_profit,50,FALSE,3,2187595,3,2187595,183247,10,FALSE,0.58,1,17,15,0,0,0,0,136,214
26914,30344,Dairy,64,pro_environmental,64,FALSE,2,1055474,3,1055474,123734,15,FALSE,0.302,1,13,12,1,1,0,1,36,263
26915,30091,Dairy,128,for_profit,57,FALSE,2,2223268,3,2223268,260635,15,FALSE,0.341,2,13,20,0,0,0,0,115,136
26916,29992,Dairy,80,for_profit,48,FALSE,5,2905545,3,2905545,195298,5,FALSE,0.66,3,11,14,1,0,3,1,30,256
26917,29166,Dairy,80,for_profit,61,FALSE,2,2191946,3,2191946,147333,5,FALSE,0.691,3,9,10,0,0,0,1,140,107
26918,30077,Dairy,112,for_profit,65,FALSE,2,1681321,3,1681321,197102,15,FALSE,0.275,1,9,14,0,1,1,1,49,272
26919,29460,Dairy,80,for_profit,54,FALSE,2,669297,3,669297,146144,20,FALSE,0.132,3,19,15,2,0,3,0,86,179
26920,29698,Forest,640,for_profit,59,FALSE,3,4829285,3,2768936.32776992,324604,15,FALSE,0.4,9,13,10,0,0,0,0,144,65
26921,30415,SNB,352,for_profit,65,FALSE,1,9600,3,9600,645,0,FALSE,0,2,12,10,1,0,0,1,60,127
26922,28934,Dairy,160,for_profit,59,FALSE,3,4948879,3,4948879,332642,5,FALSE,0.559,3,12,12,0,2,3,0,60,204
26923,29456,SNB,192,for_profit,42,FALSE,3,1537530,3,1537530,103346,5,FALSE,0.591,4,10,12,0,1,1,0,163,48
26924,30140,Dairy,112,for_profit,65,FALSE,2,706758,3,706758,154324,20,FALSE,0.115,1,15,11,0,0,0,0,39,261
26925,29786,Dairy,96,for_profit,50,FALSE,2,2182806,3,2182806,255891,15,FALSE,0.395,2,14,15,2,0,1,0,93,144
26926,28814,Forest,96,for_profit,74,FALSE,3,923849,3,529701.406621045,62097,15,FALSE,0.404,1,10,16,0,0,0,0,88,143
26927,28947,Forest,112,pro_environmental,49,FALSE,2,1142351,3,1142351,76784,5,FALSE,0.561,2,16,9,0,1,0,0,79,170
26928,29851,Forest,192,pro_environmental,56,FALSE,2,2222660,3,2222660,186185,10,FALSE,0.49,2,13,12,0,0,0,0,64,138
26929,29424,SNB,160,for_profit,35,FALSE,4,709645,3,709645,47699,5,FALSE,0.747,2,9,13,0,0,0,0,138,235
26930,29703,SNB,240,for_profit,67,FALSE,1,0,0,0,0,21,TRUE,0,1,13,11,1,0,0,1,55,130
26931,29147,Dairy,160,for_profit,58,FALSE,1,0,0,0,0,21,TRUE,0,3,13,9,0,0,0,0,87,217
26932,29745,SNB,48,for_profit,57,FALSE,3,343774,3,343774,23107,5,FALSE,0.657,3,12,10,0,0,2,0,109,133
26933,30454,Dairy,64,for_profit,61,FALSE,5,2553542,3,2553542,171638,5,FALSE,0.677,1,15,13,1,0,0,0,142,212
26934,28958,Dairy,208,for_profit,47,FALSE,4,8274266,3,8274266,556161,5,FALSE,0.598,1,13,7,0,0,1,0,113,166
26935,30578,SNB,128,for_profit,66,FALSE,4,426961,3,426961,93229,20,FALSE,0.279,2,12,12,0,0,0,0,123,206
26936,28801,Forest,80,for_profit,53,FALSE,5,723984,3,723984,48663,5,FALSE,0.663,1,12,13,0,0,0,0,90,260
26937,30113,Dairy,48,for_profit,70,FALSE,2,0,0,0,0,21,TRUE,0,1,17,7,0,0,0,0,90,255
26938,29962,Dairy,240,for_profit,54,FALSE,3,8553969,3,8553969,716537,10,FALSE,0.604,1,16,13,1,0,1,0,77,148
26939,28818,Dairy,80,for_profit,85,FALSE,1,1643,3,505.7618298223925,359,20,FALSE,0,2,19,12,2,1,1,0,113,115
26940,29566,Forest,64,for_profit,75,FALSE,3,0,0,0,0,21,TRUE,0,2,14,8,1,0,0,0,71,181
26941,30046,Forest,256,for_profit,64,FALSE,3,1808398,3,556676.0082332045,211999,20,FALSE,0.106,4,9,9,1,2,0,0,141,21
26942,29640,Dairy,192,for_profit,57,FALSE,2,5410069,3,5410069,453183,10,FALSE,0.53,7,13,13,2,2,4,3,113,65
26943,29432,Forest,656,for_profit,74,FALSE,1,1440,3,825.6436122508167,97,15,FALSE,0,2,8,13,1,0,1,0,45,217
26944,29748,Dairy,144,for_profit,67,FALSE,2,2514016,3,2514016,294719,15,FALSE,0.331,3,14,13,1,0,1,0,124,90
26945,28950,Forest,176,pro_environmental,47,FALSE,2,1276329,3,1276329,85789,5,FALSE,0.631,2,11,11,0,0,0,0,127,166
26946,29551,Forest,64,for_profit,62,FALSE,4,565822,3,565822,38032,5,FALSE,0.639,1,11,14,0,0,0,0,45,138
26947,28937,SNB,144,for_profit,56,FALSE,3,404230,3,404230,27171,5,FALSE,0.671,2,13,12,1,0,1,1,129,224
26948,30479,Dairy,160,for_profit,75,FALSE,2,2994097,3,2994097,351000,15,FALSE,0.345,3,13,13,0,0,0,0,57,142
26949,30485,Crop,176,for_profit,51,TRUE,3,8800,3,8800,591,5,FALSE,0.001,1,11,12,1,0,0,1,118,114
26950,29327,Forest,64,for_profit,55,FALSE,4,720764,3,578353.1093543136,48447,10,FALSE,0.488,2,10,13,0,0,0,0,111,55
26951,29437,Forest,288,for_profit,62,FALSE,1,0,0,0,0,21,TRUE,0,4,10,11,0,0,0,0,139,39
26952,28739,Dairy,144,for_profit,59,FALSE,1,1045127,3,1045127,228208,20,FALSE,0.141,2,15,12,1,0,1,2,60,124
26953,29499,Dairy,96,for_profit,63,FALSE,2,1801027,3,1801027,211135,15,FALSE,0.398,4,14,14,2,0,1,2,120,51
26954,29237,Forest,32,for_profit,67,FALSE,2,363467,3,363467,42609,15,FALSE,0.491,2,12,15,0,0,0,0,146,239
26955,28918,Dairy,128,for_profit,65,FALSE,2,2250787,3,2250787,263861,15,FALSE,0.341,3,11,13,2,0,3,0,143,82
26956,29917,Forest,784,for_profit,56,FALSE,3,5749673,3,5749673,386468,5,FALSE,0.649,2,10,13,0,0,0,0,21,248
26957,28856,Dairy,96,for_profit,43,FALSE,3,3194658,3,3194658,267606,10,FALSE,0.607,3,13,10,0,0,2,2,79,193
