farmer_id,farm_id,farm_type,size_ha,disposition,age,inherited,succession_stage,loan_principal,loan_rate,current_debt,debt_payments,debt_maturity,debt_free,debt_asset_ratio,n_holdings,n_local_links,n_catchment_links,Build_Wetland,Clean_Races,Farm_Plan,Riparian_Planting,x,y
26908,29805,Dairy,64,for_profit,59,FALSE,3,1281704,3,1281704,107364,10,FALSE,0.55,1,14,13,0,0,0,0,73,250
26909,30276,Forest,240,for_profit,72,FALSE,2,0,0,0,0,21,TRUE,0,2,10,11,0,0,0,0,16,249
26910,30237,SNB,496,pro_environmental,57,FALSE,3,1256732,3,1256732,84472,5,FALSE,0.628,4,7,8,1,0,2,0,124,240
26911,29205,Forest,1264,for_profit,64,FALSE,3,7334180,3,2257667.861866582,492972,20,FALSE,0.175,6,11,9,0,0,0,0,152,20
26912,29680,Forest,48,for_profit,57,FALSE,3,474080,3,474080,31866,5,FALSE,0.724,1,12,13,0,0,0,0,77,239
26913,30244,Forest,64,for_profit,63,FALSE,3,538226,3,308599.20753285283,36177,15,FALSE,0.349,1,17,15,0,0,0,0,136,214
26914,30344,Forest,64,for_profit,43,FALSE,3,562741,3,562741,37825,5,FALSE,0.644,1,13,12,0,0,0,0,36,263
26915,30091,Dairy,128,for_profit,46,FALSE,2,3531146,3,3531146,237348,5,FALSE,0.68,2,13,20,0,0,2,0,115,136
26916,29992,Dairy,80,for_profit,57,FALSE,4,1599343,3,1599343,133971,10,FALSE,0.545,3,11,14,0,1,2,1,30,256
26917,29166,Dairy,80,for_profit,57,FALSE,2,283281,3,283281,61856,20,FALSE,0.1,3,9,10,0,0,1,0,140,107
26918,30077,Forest,112,for_profit,56,FALSE,3,942128,3,942128,63326,5,FALSE,0.616,1,9,14,0,0,0,0,49,272
26919,29460,Dairy,80,for_profit,48,FALSE,2,2310846,3,2310846,155325,5,FALSE,0.683,3,19,15,3,1,3,1,86,179
26920,29698,Forest,640,for_profit,74,FALSE,2,4019894,3,1237436.9720828098,270200,20,FALSE,0.179,9,13,10,0,0,0,0,144,65
26921,30415,SNB,352,for_profit,53,TRUE,3,210602,3,210602,45986,20,FALSE,0.122,2,12,10,0,0,0,1,60,127
26922,28934,Dairy,160,for_profit,61,FALSE,2,320,3,320,22,5,FALSE,0,3,12,12,0,0,2,3,60,204
26923,29456,Dairy,192,for_profit,62,FALSE,4,3791270,3,3042178.56732818,254833,10,FALSE,0.468,4,10,12,0,4,3,0,163,48
26924,30140,Forest,112,for_profit,71,TRUE,2,0,0,0,0,21,TRUE,0,1,15,11,0,0,0,0,39,261
26925,29786,Dairy,96,for_profit,57,FALSE,3,1398967,3,1398967,164002,15,FALSE,0.38,2,14,15,0,0,0,0,93,144
26926,28814,Forest,96,for_profit,56,FALSE,3,545894,3,545894,63995,15,FALSE,0.417,1,10,16,0,0,0,0,88,143
26927,28947,Dairy,112,for_profit,45,FALSE,2,1415482,3,1415482,165938,15,FALSE,0.349,2,16,9,0,0,0,0,79,170
26928,29851,Dairy,192,for_profit,61,FALSE,1,1860470,3,572705.2413448974,218104,20,FALSE,0.085,2,13,12,0,1,0,0,64,138
26929,29424,SNB,160,for_profit,73,FALSE,4,0,0,0,0,21,TRUE,0,2,9,13,0,0,0,0,138,235
26930,29703,SNB,240,for_profit,69,FALSE,1,143552,3,143552,31345,20,FALSE,0.148,1,13,11,0,0,1,1,55,130
26931,29147,Dairy,160,for_profit,53,FALSE,2,3904211,3,3904211,327042,10,FALSE,0.636,3,13,9,0,0,0,2,87,217
26932,29745,SNB,48,pro_environmental,68,FALSE,4,147861,3,147861,17334,15,FALSE,0.299,3,12,10,0,0,2,1,109,133
26933,30454,Dairy,64,pro_environmental,57,FALSE,4,1568290,3,1568290,105414,5,FALSE,0.623,1,15,13,1,0,0,0,142,212
26934,28958,Forest,208,for_profit,47,FALSE,4,2526440,3,1448568.7831492731,169816,15,FALSE,0.392,1,13,7,0,0,0,0,113,166
26935,30578,Dairy,128,pro_environmental,54,FALSE,2,3162728,3,3162728,212585,5,FALSE,0.725,2,12,12,1,0,0,0,123,206
26936,28801,Dairy,80,pro_environmental,63,FALSE,6,1742518,3,1742518,145965,10,FALSE,0.598,1,12,13,1,1,0,0,90,260
26937,30113,Forest,48,pro_environmental,55,FALSE,6,425491,3,425491,28600,5,FALSE,0.641,1,17,7,0,0,0,0,90,255
26938,29962,SNB,240,for_profit,80,FALSE,1,69025,3,69025,5782,10,FALSE,0.045,1,16,13,1,0,1,1,77,148
26939,28818,Dairy,80,for_profit,51,FALSE,4,1917266,3,1917266,160603,10,FALSE,0.553,2,19,12,0,0,0,0,113,115
26940,29566,Dairy,64,pro_environmental,68,FALSE,3,4008,3,4008,336,5,FALSE,0.001,2,14,8,2,1,1,2,71,181
26941,30046,Dairy,256,pro_environmental,60,FALSE,3,4793544,3,4793544,322201,5,FALSE,0.669,4,9,9,2,0,0,0,141,21
26942,29640,Dairy,192,for_profit,65,FALSE,4,3719324,3,3719324,249997,5,FALSE,0.651,7,13,13,0,1,3,1,113,65
26943,29432,Dairy,656,for_profit,56,FALSE,3,7244320,3,7244320,849255,15,FALSE,0.331,2,8,13,0,0,2,0,45,217
26944,29748,Dairy,144,for_profit,67,FALSE,1,1806790,3,1806790,211811,15,FALSE,0.357,3,14,13,0,1,2,0,124,90
26945,28950,Forest,176,for_profit,70,FALSE,2,1121251,3,642884.5318610003,75366,15,FALSE,0.318,2,11,11,0,0,0,0,127,166
26946,29551,Forest,64,for_profit,64,FALSE,3,610646,3,489992.5812259966,41045,10,FALSE,0.554,1,11,14,0,0,0,0,45,138
26947,28937,SNB,144,for_profit,48,FALSE,3,735766,3,735766,49455,5,FALSE,0.676,2,13,12,1,0,0,0,129,224
26948,30479,Dairy,160,for_profit,30,FALSE,3,2939082,3,2939082,197552,5,FALSE,0.508,3,13,13,0,0,0,0,57,142
26949,30485,Crop,176,for_profit,64,FALSE,2,2528364,3,2528364,296401,15,FALSE,0.313,1,11,12,1,0,0,0,118,114
26950,29327,Dairy,64,for_profit,69,FALSE,2,0,0,0,0,21,TRUE,0,2,10,13,1,0,0,0,111,55
26951,29437,Forest,288,for_profit,69,FALSE,2,1909387,3,587763.2762988975,128341,20,FALSE,0.197,4,10,11,0,0,0,0,139,39
26952,28739,Dairy,144,for_profit,44,FALSE,2,3050031,3,3050031,205010,5,FALSE,0.619,2,15,12,2,0,0,2,60,124
26953,29499,Dairy,96,pro_environmental,37,FALSE,3,2498170,3,2498170,167916,5,FALSE,0.729,4,14,14,0,0,0,3,120,51
26954,29237,Dairy,32,for_profit,45,FALSE,4,695974,3,695974,46780,5,FALSE,0.628,2,12,15,1,0,0,0,146,239
26955,28918,Dairy,128,for_profit,56,FALSE,3,1858431,3,1858431,155674,10,FALSE,0.507,3,11,13,0,1,2,0,143,82
26956,29917,Forest,784,for_profit,54,FALSE,3,1562140,3,1562140,341100,20,FALSE,0.176,2,10,13,0,0,0,0,21,248
26957,28856,Dairy,96,pro_environmental,75,FALSE,3,64,3,64,4,0,FALSE,0,3,13,10,1,0,1,0,79,193
26958,30303,Dairy,512,for_profit,65,FALSE,3,1640991,3,1640991,358318,20,FALSE,0.091,6,9,9,1,1,2,0,98,220
26959,30560,Dairy,112,for_profit,70,FALSE,3,0,0,0,0,21,TRUE,0,3,8,11,0,3,0,1,56,200
26960,29768,SNB,368,for_profit,48,FALSE,4,1988866,3,1988866,133683,5,FALSE,0.651,5,8,13,0,0,3,0,148,60
26961,30321,Dairy,288,for_profit,53,FALSE,2,6823838,3,6823838,458669,5,FALSE,0.661,2,13,17,1,0,0,0,179,32
26962,30366,SNB,80,for_profit,58,FALSE,2,430356,3,430356,28927,5,FALSE,0.649,3,13,12,1,0,0,1,102,237
26963,30192,Dairy,336,for_profit,59,FALSE,2,3800993,3,3800993,445592,15,FALSE,0.313,5,9,10,2,5,0,0,109,72
26964,30310,SNB,128,for_profit,74,TRUE,3,2572,3,2572,302,10,FALSE,0.003,4,14,10,4,0,1,1,80,123
26965,29264,SNB,336,for_profit,77,FALSE,2,832,3,832,56,5,FALSE,0,4,12,10,2,0,2,0,109,59
26966,30458,Forest,64,pro_environmental,27,FALSE,2,611066,3,611066,41073,5,FALSE,0.691,1,17,13,0,0,0,0,54,218
26967,28771,SNB,256,for_profit,39,FALSE,2,750494,3,750494,50445,5,FALSE,0.704,2,8,10,2,0,2,0,61,140
26968,29146,Dairy,96,for_profit,67,FALSE,2,0,0,0,0,21,TRUE,0,1,9,13,0,1,0,0,69,286
26969,29862,Dairy,96,for_profit,59,FALSE,3,2135150,3,2135150,143516,5,FALSE,0.61,1,9,16,0,0,0,1,76,255
26970,29198,Dairy,208,for_profit,78,FALSE,1,4851,3,3892.5236741537806,406,10,FALSE,0.001,6,10,16,0,2,1,3,136,133
26971,29145,SNB,144,pro_environmental,69,FALSE,3,501498,3,501498,42009,10,FALSE,0.553,3,14,13,0,0,2,0,133,77
26972,28740,Forest,432,pro_environmental,73,FALSE,2,0,0,0,0,21,TRUE,0,3,10,12,0,0,0,0,39,223
26973,30205,Forest,32,for_profit,62,FALSE,4,307246,3,307246,20652,5,FALSE,0.694,1,14,13,0,0,0,0,52,238
26974,29524,Dairy,192,for_profit,57,TRUE,2,1920,3,1920,129,0,FALSE,0,4,9,15,2,2,4,2,129,88
26975,29866,SNB,96,for_profit,56,FALSE,3,248315,3,248315,16691,5,FALSE,0.58,2,10,17,1,0,0,0,140,197
26976,28798,SNB,112,for_profit,59,FALSE,2,118219,3,118219,25814,20,FALSE,0.165,1,11,8,0,0,0,1,99,159
26977,29588,SNB,112,for_profit,53,FALSE,4,1594859,3,1594859,107200,5,FALSE,0.739,2,13,8,0,0,1,0,97,252
26978,29491,Dairy,48,for_profit,51,FALSE,2,1082013,3,1082013,90637,10,FALSE,0.603,2,9,10,0,2,1,0,42,258
26979,29910,Dairy,288,for_profit,54,FALSE,4,7846518,3,7846518,527409,5,FALSE,0.756,3,13,10,2,0,0,1,69,162
26980,29806,Dairy,160,for_profit,80,FALSE,1,0,0,0,0,21,TRUE,0,2,13,16,2,0,2,0,126,44
26981,29849,SNB,256,for_profit,51,FALSE,3,815200,3,815200,54794,5,FALSE,0.683,2,13,12,0,0,0,0,96,110
26982,28875,Forest,80,pro_environmental,71,FALSE,4,555974,3,318775.26505384414,46572,15,FALSE,0.288,1,16,10,0,0,0,0,72,145
26983,30478,Dairy,160,for_profit,59,FALSE,2,3318119,3,3318119,277947,10,FALSE,0.543,3,15,10,3,1,0,0,69,137
26984,29501,SNB,96,for_profit,75,FALSE,2,60239,3,60239,13153,20,FALSE,0.148,2,13,8,2,0,0,1,105,71
26985,29937,SNB,464,for_profit,75,FALSE,1,1093,3,1093,128,10,FALSE,0.001,6,10,14,5,0,2,6,97,94
26986,29114,Dairy,112,for_profit,75,FALSE,2,800,3,800,54,0,FALSE,0,3,12,13,0,0,3,1,140,72
26987,29373,SNB,96,for_profit,45,FALSE,2,392613,3,392613,26390,5,FALSE,0.691,1,9,16,1,0,1,0,35,271
26988,30452,Dairy,208,for_profit,64,FALSE,3,4367026,3,4367026,293533,5,FALSE,0.534,1,14,10,1,0,1,1,118,144
26989,29064,SNB,64,for_profit,80,TRUE,2,9714,3,9714,653,5,FALSE,0.029,3,14,18,3,0,3,3,133,59
26990,29784,Dairy,80,for_profit,51,FALSE,3,1832391,3,1832391,153493,10,FALSE,0.629,1,9,8,0,0,0,1,54,276
26991,30078,Dairy,80,for_profit,43,FALSE,3,1957052,3,1957052,131545,5,FALSE,0.671,1,11,17,0,1,0,1,59,253
26992,29428,Forest,80,for_profit,55,FALSE,3,1003982,3,1003982,67483,5,FALSE,0.707,1,11,11,0,0,0,0,119,156
26993,29787,Dairy,144,for_profit,51,FALSE,4,3824359,3,3824359,257057,5,FALSE,0.683,2,13,13,1,0,0,0,46,243
26994,29633,Dairy,48,for_profit,66,FALSE,1,128,3,128,9,5,FALSE,0,2,9,10,0,1,1,2,115,85
26995,29611,Dairy,112,for_profit,61,FALSE,3,3091186,3,3091186,207776,5,FALSE,0.725,2,12,16,0,0,1,0,106,126
26996,30340,Forest,32,for_profit,67,FALSE,3,292898,3,292898,19687,5,FALSE,0.662,1,11,13,0,0,0,0,83,272
