,SNB,Dairy,Forest,Crop
LUC1_Mean,0.5,0.85,0.2,0.4
LUC1_SD,0.1,0.2,0.02,0.1
LUC2_Mean,0.5,0.85,0.2,0.4
LUC2_SD,0.1,0.2,0.02,0.1
LUC3_Mean,0.5,0.85,0.2,0.4
LUC3_SD,0.1,0.2,0.02,0.1
LUC4_Mean,0.5,0.85,0.2,0.4
LUC4_SD,0.1,0.2,0.02,0.1
LUC5_Mean,0.5,0.85,0.2,0.4
LUC5_SD,0.1,0.2,0.02,0.1
LUC6_Mean,0.5,0.85,0.2,0.4
LUC6_SD,0.1,0.2,0.02,0.1
LUC7_Mean,0.5,0.85,0.2,0.4
LUC7_SD,0.1,0.2,0.02,0.1
LUC8_Mean,0.5,0.85,0.2,0.4
LUC8_SD,0.1,0.2,0.02,0.1
