from,to
26963,27853
26963,27989
26963,28251
26963,28508
27094,26964
26964,27663
27771,26964
26964,28136
26964,28427
28461,26964
26965,27182
27603,26965
26965,27853
26965,28303
26966,27218
27230,26966
27635,26966
26966,27697
26966,27953
26966,28192
27945,26967
28012,26967
26967,28353
26967,28478
26968,27305
26968,27456
26968,28005
26968,28093
26968,28276
28526,26968
26969,27288
27580,26969
26969,27747
27876,26969
26969,28138
28225,26969
26969,28351
27014,26970
26970,27282
27622,26970
26970,27682
28037,26970
26971,27544
26971,27658
27685,26971
26971,28078
26971,28100
26971,28204
26971,28609
26972,27697
27916,26972
28214,26972
26973,26993
27802,26973
26973,28027
26973,28316
28611,26973
27238,26974
27518,26974
27701,26974
28125,26974
26975,27061
26975,27267
27398,26975
27581,26975
26975,28541
27582,26976
26976,27774
27808,26976
26976,28189
26976,28713
27097,26977
26977,27333
26977,27491
27514,26977
26977,27694
27727,26977
28056,26977
28415,26977
28567,26977
28617,26977
27175,26978
27427,26978
26978,27487
27503,26978
26978,27959
26978,28011
26978,28227
26979,27561
27573,26979
26979,27881
27939,26979
28290,26979
28562,26979
26980,27033
27036,26980
27767,26980
27832,26980
28442,26980
27043,26981
28038,26981
28217,26981
26981,28456
28485,26981
28689,26981
27982,26982
28283,26982
26982,28355
28359,26982
26982,28605
28619,26982
26983,27167
26983,27255
26983,28039
28207,26983
28387,26983
26983,28536
26984,27590
26984,27853
27934,26984
28020,26984
26984,28132
28360,26984
27030,26985
27227,26985
27547,26985
28158,26985
26986,27286
26986,27685
27779,26986
26986,27783
26986,27947
26986,28009
26987,27593
26987,27692
28334,26987
28708,26987
27265,26988
26988,27419
28141,26988
28247,26988
26988,28669
27489,26989
26989,27891
26989,28343
26989,28703
27247,26990
26990,27829
28294,26990
28482,26990
28573,26990
26990,28595
27156,26991
27413,26991
27521,26991
27598,26991
26992,27170
27862,26992
27873,26992
26992,27887
28094,26992
28623,26992
28682,26992
27173,26993
27236,26993
27243,26993
26993,27261
26993,27317
27837,26993
28027,26993
26993,28135
26993,28611
26994,27105
26994,27535
27679,26994
27735,26994
26994,27996
28042,26994
27136,26995
27283,26995
27410,26995
26995,27579
26995,28506
26996,27017
26996,27153
26996,27431
26996,27462
26996,28091
28431,26996
27130,26997
27370,26997
27428,26997
26997,27624
26997,27652
26997,28025
26997,28454
26997,28670
26998,27367
27459,26998
26998,27504
27681,26999
26999,27736
26999,27785
28113,26999
28721,26999
27357,27000
27000,27502
27000,28173
28206,27000
28478,27000
27094,27001
27592,27001
27668,27001
27744,27001
27001,27771
28495,27001
27223,27002
27612,27002
28589,27002
27003,27028
27003,27221
27781,27003
27003,28127
28231,27003
27098,27004
27004,27525
27004,27545
27661,27004
28719,27004
27390,27005
27005,27428
27652,27005
27980,27005
27005,28151
27005,28168
28321,27005
27005,28386
27006,27187
27006,27609
27006,27821
27967,27006
27006,27992
28237,27006
27006,28265
28556,27006
28642,27006
28672,27006
28702,27006
28714,27006
27007,27413
27729,27007
27007,27918
27007,28614
27073,27008
27856,27008
27009,27072
27009,27626
27643,27009
28346,27009
28515,27009
27009,28662
27231,27010
27447,27010
27010,27495
27103,27011
27011,28226
28644,27011
27012,27568
28098,27012
28159,27012
27012,28470
27071,27013
27013,27163
27406,27013
27424,27013
27014,27346
27014,27539
27014,27803
27014,27946
27014,27971
27014,28398
27014,28529
27015,27148
27700,27015
27836,27015
27015,27919
27015,28413
27015,28672
27248,27016
27714,27016
27016,27776
27016,28221
27016,28369
28400,27016
28422,27016
27016,28624
27323,27017
28431,27017
27018,27916
28202,27018
28357,27018
28476,27018
28550,27018
27019,27421
27475,27019
27019,28070
27019,28479
28604,27019
27020,27119
27020,27133
27020,28136
28273,27020
27020,28274
28371,27020
27021,27536
27838,27021
27021,28162
28438,27021
27021,28503
27022,27451
27505,27022
27812,27022
28388,27022
28408,27022
27022,28648
27022,28671
27276,27023
27023,27292
27296,27023
27420,27023
27023,27839
28055,27023
28160,27023
28241,27023
27024,27092
27024,27371
27024,27512
27672,27024
27858,27024
27024,27881
27890,27024
27024,28333
28389,27024
27040,27025
27025,27294
27025,27357
27702,27025
27025,28555
27506,27026
28219,27026
28514,27026
27535,27027
27027,27648
27027,27913
27027,27996
27027,28002
27027,28631
28721,27027
27501,27028
27629,27028
27028,27944
27028,27976
27028,28070
28200,27028
28274,27028
27114,27029
27121,27029
27464,27029
27029,27835
27029,27951
27981,27029
27029,28469
28523,27029
28655,27029
27030,27426
27602,27030
27030,28278
27030,28647
27031,27797
27930,27031
27031,27990
27031,28376
27032,27824
27032,27943
28554,27032
27032,28709
27177,27033
27279,27033
27033,27404
27033,27507
27530,27033
28110,27033
28442,27033
28709,27033
27232,27034
27034,27523
27527,27034
27537,27034
27034,27686
27034,28460
27034,28564
27169,27035
27035,27589
27836,27035
28045,27035
28289,27035
27035,28519
27244,27036
27279,27036
27404,27036
27036,27766
