mean_or_sd,LUC,SNB,Dairy,Forest,Crop
Mean,1,0.5,0.85,0.2,0.4
SD,1,0.1,0.2,0.02,0.1
Mean,2,0.5,0.85,0.2,0.4
SD,2,0.1,0.2,0.02,0.1
Mean,3,0.5,0.85,0.2,0.4
SD,3,0.1,0.2,0.02,0.1
Mean,4,0.5,0.85,0.2,0.4
SD,4,0.1,0.2,0.02,0.1
Mean,5,0.5,0.85,0.2,0.4
SD,5,0.1,0.2,0.02,0.1
Mean,6,0.5,0.85,0.2,0.4
SD,6,0.1,0.2,0.02,0.1
Mean,7,0.5,0.85,0.2,0.4
SD,7,0.1,0.2,0.02,0.1
Mean,8,0.5,0.85,0.2,0.4
SD,8,0.1,0.2,0.02,0.1
