mean_or_sd,LUC,SNB,Dairy,Forest,Crop
Mean,1,11,38,2,20
SD,1,3.3,10,0.1,5
Mean,2,11,38,2,20
SD,2,3.3,10,0.1,5
Mean,3,11,38,2,20
SD,3,3.3,10,0.1,5
Mean,4,11,38,2,20
SD,4,3.3,10,0.1,5
Mean,5,11,38,2,20
SD,5,3.3,10,0.1,5
Mean,6,11,38,2,20
SD,6,3.3,10,0.1,5
Mean,7,11,38,2,20
SD,7,3.3,10,0.1,5
Mean,8,11,38,2,20
SD,8,3.3,10,0.1,5
