,SNB,Dairy,Forest,Crop
LUC1_Mean,4,4.5,0.4,0.2
LUC1_SD,1,1.2,0.07,0.03
LUC2_Mean,4,4.5,0.4,0.2
LUC2_SD,1,1.2,0.07,0.03
LUC3_Mean,4,4.5,0.4,0.2
LUC3_SD,1,1.2,0.07,0.03
LUC4_Mean,4,4.5,0.4,0.2
LUC4_SD,1,1.2,0.07,0.03
LUC5_Mean,4,4.5,0.4,0.2
LUC5_SD,1,1.2,0.07,0.03
LUC6_Mean,4,4.5,0.4,0.2
LUC6_SD,1,1.2,0.07,0.03
LUC7_Mean,4,4.5,0.4,0.2
LUC7_SD,1,1.2,0.07,0.03
LUC8_Mean,4,4.5,0.4,0.2
LUC8_SD,1,1.2,0.07,0.03
