mean_or_sd,LUC,SNB,Dairy,Forest,Crop
Mean,1,12,4,3,1
SD,1,4,0.3,0.4,0.2
Mean,2,13,4,3,1
SD,2,4,0.3,0.4,0.2
Mean,3,14,4,3,1
SD,3,4,0.3,0.4,0.2
Mean,4,15,4,3,1
SD,4,4,0.3,0.4,0.2
Mean,5,16,4,3,1
SD,5,4,0.3,0.4,0.2
Mean,6,17,4,3,1
SD,6,4,0.3,0.4,0.2
Mean,7,18,4,3,1
SD,7,4,0.3,0.4,0.2
Mean,8,19,4,3,1
SD,8,4,0.3,0.4,0.2
