,,0,1,2,3,4,5,6,7,8,9,10
Mean,costs,1,1,1,1,1,1,1,1,1,1,1
Mean,yields,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
SD,costs,1,1,1,1,1,1,1,1,1,1,1
SD,yields,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
