,,0,1,2,3,4,5,6,7,8,9,10
Mean,costs,1,1,1,1,1,1,1,1,1,1,1
Mean,yields,1,0.975,0.95,0.925,0.9,0.875,0.85,0.825,0.8,0.775,0.75
SD,costs,1,1,1,1,1,1,1,1,1,1,1
SD,yields,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
